County,ZIPCode,Population,TotalPopulation,Weight
Anderson,75751,26,57922,0.00045
Anderson,75763,2700,57922,0.04661
Anderson,75801,16643,57922,0.28733
Anderson,75803,17094,57922,0.29512
Anderson,75839,5884,57922,0.10158
Anderson,75844,177,57922,0.00306
Anderson,75853,1223,57922,0.02111
Anderson,75861,14175,57922,0.24473
Andrews,79714,18610,18610,1.00000
Angelina,75901,28386,86395,0.32856
Angelina,75904,34390,86395,0.39806
Angelina,75941,8523,86395,0.09865
Angelina,75949,7984,86395,0.09241
Angelina,75969,4610,86395,0.05336
Angelina,75980,2502,86395,0.02896
Aransas,78336,3083,23830,0.12937
Aransas,78382,20747,23830,0.87063
Archer,76308,1088,8560,0.12710
Archer,76310,1656,8560,0.19346
Archer,76351,1604,8560,0.18738
Archer,76366,2640,8560,0.30841
Archer,76374,53,8560,0.00619
Archer,76379,614,8560,0.07173
Archer,76389,905,8560,0.10572
Armstrong,79019,1731,1848,0.93669
Armstrong,79039,15,1848,0.00812
Armstrong,79042,26,1848,0.01407
Armstrong,79094,32,1848,0.01732
Armstrong,79226,44,1848,0.02381
Atascosa,78005,155,48981,0.00316
Atascosa,78008,295,48981,0.00602
Atascosa,78011,2258,48981,0.04610
Atascosa,78026,6138,48981,0.12531
Atascosa,78052,3480,48981,0.07105
Atascosa,78064,16292,48981,0.33262
Atascosa,78065,12901,48981,0.26339
Atascosa,78069,4131,48981,0.08434
Atascosa,78073,1824,48981,0.03724
Atascosa,78113,112,48981,0.00229
Atascosa,78114,175,48981,0.00357
Atascosa,78264,1220,48981,0.02491
Austin,77418,9933,30167,0.32927
Austin,77426,173,30167,0.00573
Austin,77474,14253,30167,0.47247
Austin,77485,2260,30167,0.07492
Austin,77833,414,30167,0.01372
Austin,77835,73,30167,0.00242
Austin,78931,355,30167,0.01177
Austin,78933,697,30167,0.02310
Austin,78940,172,30167,0.00570
Austin,78944,526,30167,0.01744
Austin,78950,1255,30167,0.04160
Austin,78954,56,30167,0.00186
Bailey,79324,55,6904,0.00797
Bailey,79344,76,6904,0.01101
Bailey,79347,6697,6904,0.97002
Bailey,79371,76,6904,0.01101
Bandera,78003,8854,20851,0.42463
Bandera,78023,108,20851,0.00518
Bandera,78028,6,20851,0.00029
Bandera,78055,1695,20851,0.08129
Bandera,78063,9509,20851,0.45605
Bandera,78883,136,20851,0.00652
Bandera,78884,442,20851,0.02120
Bandera,78885,101,20851,0.00484
Bastrop,78602,33761,97216,0.34728
Bastrop,78612,13563,97216,0.13951
Bastrop,78616,4097,97216,0.04214
Bastrop,78617,7431,97216,0.07644
Bastrop,78621,19302,97216,0.19855
Bastrop,78650,1721,97216,0.01770
Bastrop,78653,157,97216,0.00161
