District,ZIPCode,Population,TotalPopulation,Weight
1,75140,12,845787,0.00001
1,75410,4757,845787,0.00562
1,75411,1001,845787,0.00118
1,75412,759,845787,0.00090
1,75416,3009,845787,0.00356
1,75417,2509,845787,0.00297
1,75421,1049,845787,0.00124
1,75426,4651,845787,0.00550
1,75431,468,845787,0.00055
1,75435,1307,845787,0.00155
1,75436,2126,845787,0.00251
1,75440,218,845787,0.00026
1,75446,272,845787,0.00032
1,75451,1485,845787,0.00176
1,75455,24159,845787,0.02856
1,75457,6586,845787,0.00779
1,75460,21814,845787,0.02579
1,75462,12269,845787,0.01451
1,75468,888,845787,0.00105
1,75470,306,845787,0.00036
1,75473,4113,845787,0.00486
1,75477,979,845787,0.00116
1,75480,1962,845787,0.00232
1,75486,2685,845787,0.00317
1,75487,2019,845787,0.00239
1,75493,1573,845787,0.00186
1,75494,9957,845787,0.01177
1,75497,2993,845787,0.00354
1,75501,37308,845787,0.04411
1,75503,25021,845787,0.02958
1,75550,563,845787,0.00067
1,75551,8883,845787,0.01050
1,75554,1475,845787,0.00174
1,75555,1808,845787,0.00214
1,75556,869,845787,0.00103
1,75558,1932,845787,0.00228
1,75559,5341,845787,0.00631
1,75560,1154,845787,0.00136
1,75561,5212,845787,0.00616
1,75563,4947,845787,0.00585
1,75566,891,845787,0.00105
1,75567,3539,845787,0.00418
1,75568,2868,845787,0.00339
1,75569,3597,845787,0.00425
1,75570,11093,845787,0.01312
1,75571,1800,845787,0.00213
1,75572,4274,845787,0.00505
1,75574,1776,845787,0.00210
1,75601,15897,845787,0.01880
1,75602,22073,845787,0.02610
1,75603,5606,845787,0.00663
1,75604,30647,845787,0.03623
1,75605,33145,845787,0.03919
1,75630,2219,845787,0.00262
1,75631,2547,845787,0.00301
1,75633,13893,845787,0.01643
1,75638,5634,845787,0.00666
1,75639,2995,845787,0.00354
1,75640,5415,845787,0.00640
1,75643,939,845787,0.00111
1,75644,11358,845787,0.01343
1,75645,10921,845787,0.01291
1,75647,13428,845787,0.01588
1,75650,9878,845787,0.01168
1,75651,2118,845787,0.00250
1,75652,16940,845787,0.02003
1,75654,11898,845787,0.01407
1,75656,4628,845787,0.00547
1,75657,8070,845787,0.00954
1,75661,2273,845787,0.00269
1,75662,26028,845787,0.03077
