File Name,Start Date,End Date,Records,Distinct Patients,update_ym
dod_lr2007q1,2007-01-01 00:00:00,2007-03-31 00:00:00,16003544,879076,202207
dod_lr2007q2,2007-04-01 00:00:00,2007-06-30 00:00:00,12488245,683096,202207
dod_lr2007q3,2007-07-01 00:00:00,2007-09-30 00:00:00,20949077,710106,202207
dod_lr2007q4,2007-10-01 00:00:00,2007-12-31 00:00:00,20704996,692704,202207
dod_lr2008q1,2008-01-01 00:00:00,2008-03-31 00:00:00,27821454,858447,202207
dod_lr2008q2,2008-04-01 00:00:00,2008-06-30 00:00:00,30196485,910112,202207
dod_lr2008q3,2008-07-01 00:00:00,2008-09-30 00:00:00,31094968,957435,202207
dod_lr2008q4,2008-10-01 00:00:00,2008-12-31 00:00:00,32098881,971664,202207
dod_lr2009q1,2009-01-01 00:00:00,2009-03-31 00:00:00,43387136,1233671,202207
dod_lr2009q2,2009-04-01 00:00:00,2009-06-30 00:00:00,41722616,1206100,202207
dod_lr2009q3,2009-07-01 00:00:00,2009-09-30 00:00:00,42840183,1230618,202207
dod_lr2009q4,2009-10-01 00:00:00,2009-12-31 00:00:00,39572644,1160163,202207
dod_lr2010q1,2010-01-01 00:00:00,2010-03-31 00:00:00,40974236,1215359,202207
dod_lr2010q2,2010-04-01 00:00:00,2010-06-30 00:00:00,43765829,1267243,202207
dod_lr2010q3,2010-07-01 00:00:00,2010-09-30 00:00:00,42080715,1215869,202207
dod_lr2010q4,2010-10-01 00:00:00,2010-12-31 00:00:00,35694299,1092908,202207
dod_lr2011q1,2011-01-01 00:00:00,2011-03-31 00:00:00,39304498,1214853,202207
dod_lr2011q2,2011-04-01 00:00:00,2011-06-30 00:00:00,36656041,1237471,202207
dod_lr2011q3,2011-07-01 00:00:00,2011-09-30 00:00:00,37173658,1241536,202207
dod_lr2011q4,2011-10-01 00:00:00,2011-12-31 00:00:00,38174407,1217253,202207
dod_lr2012q1,2012-01-01 00:00:00,2012-03-31 00:00:00,43092518,1301063,202207
dod_lr2012q2,2012-04-01 00:00:00,2012-06-30 00:00:00,39107189,1247802,202207
dod_lr2012q3,2012-07-01 00:00:00,2012-09-30 00:00:00,44807430,1228504,202207
dod_lr2012q4,2012-10-01 00:00:00,2012-12-31 00:00:00,42804828,1191716,202207
dod_lr2013q1,2013-01-01 00:00:00,2013-03-31 00:00:00,60583523,1591271,202207
dod_lr2013q2,2013-04-01 00:00:00,2013-06-30 00:00:00,64749108,1674221,202207
dod_lr2013q3,2013-07-01 00:00:00,2013-09-30 00:00:00,63412973,1649553,202207
dod_lr2013q4,2013-10-01 00:00:00,2013-12-31 00:00:00,61490412,1649997,202207
dod_lr2014q1,2014-01-01 00:00:00,2014-03-31 00:00:00,58356216,1567298,202207
dod_lr2014q2,2014-04-01 00:00:00,2014-06-30 00:00:00,60282951,1599282,202207
dod_lr2014q3,2014-07-01 00:00:00,2014-09-30 00:00:00,62077166,1643305,202207
dod_lr2014q4,2014-10-01 00:00:00,2014-12-31 00:00:00,62227216,1637823,202207
dod_lr2015q1,2015-01-01 00:00:00,2015-03-31 00:00:00,75085328,1883003,202207
dod_lr2015q2,2015-04-01 00:00:00,2015-06-30 00:00:00,77330957,1960722,202207
dod_lr2015q3,2015-07-01 00:00:00,2015-09-30 00:00:00,77889232,1982643,202207
dod_lr2015q4,2015-10-01 00:00:00,2015-12-31 00:00:00,72800986,1900370,202207
dod_lr2016q1,2016-01-01 00:00:00,2016-03-31 00:00:00,101610706,2331522,202207
dod_lr2016q2,2016-04-01 00:00:00,2016-06-30 00:00:00,98553778,2368783,202207
dod_lr2016q3,2016-07-01 00:00:00,2016-09-30 00:00:00,102789663,2405336,202207
dod_lr2016q4,2016-10-01 00:00:00,2016-12-31 00:00:00,96151755,2324689,202207
dod_lr2017q1,2017-01-01 00:00:00,2017-03-31 00:00:00,117189684,2748899,202207
dod_lr2017q2,2017-04-01 00:00:00,2017-06-30 00:00:00,115984187,2677125,202207
dod_lr2017q3,2017-07-01 00:00:00,2017-09-30 00:00:00,115355447,2663910,202207
dod_lr2017q4,2017-10-01 00:00:00,2017-12-31 00:00:00,112142651,2562297,202207
dod_lr2018q1,2018-01-01 00:00:00,2018-03-31 00:00:00,133584705,2910084,202207
dod_lr2018q2,2018-04-01 00:00:00,2018-06-30 00:00:00,128896465,2853521,202207
dod_lr2018q3,2018-07-01 00:00:00,2018-09-30 00:00:00,127049034,2753111,202207
dod_lr2018q4,2018-10-01 00:00:00,2018-12-31 00:00:00,115665481,2679624,202207
dod_lr2019q1,2019-01-01 00:00:00,2019-03-31 00:00:00,130320790,3035916,202207
dod_lr2019q2,2019-04-01 00:00:00,2019-06-30 00:00:00,136109571,3136947,202207
dod_lr2019q3,2019-07-01 00:00:00,2019-09-30 00:00:00,122347679,2969331,202207
dod_lr2019q4,2019-10-01 00:00:00,2019-12-31 00:00:00,125589845,3020966,202207
dod_lr2020q1,2020-01-01 00:00:00,2020-03-31 00:00:00,142908494,3338770,202207
dod_lr2020q2,2020-04-01 00:00:00,2020-06-30 00:00:00,112400834,2892271,202207
dod_lr2020q3,2020-07-01 00:00:00,2020-09-30 00:00:00,140230080,3793872,202207
dod_lr2020q4,2020-10-01 00:00:00,2020-12-31 00:00:00,144430268,3999954,202207
dod_lr2021q1,2021-01-01 00:00:00,2021-03-31 00:00:00,152398212,3604163,202207
dod_lr2021q2,2021-04-01 00:00:00,2021-06-30 00:00:00,152023101,4239399,202207
dod_lr2021q3,2021-07-01 00:00:00,2021-09-30 00:00:00,154287924,4514696,202207
dod_lr2021q4,2021-10-01 00:00:00,2021-12-31 00:00:00,144635673,4343439,202207
dod_lr2022q1,2022-01-01 00:00:00,2022-03-31 00:00:00,146906048,4079787,202207
