File Name,Records,Distinct Patients,update_ym
dod_proc2000q2,321228,132315,202207
dod_proc2000q3,505193,197396,202207
dod_proc2000q4,524712,198258,202207
dod_proc2001q1,727183,280568,202207
dod_proc2001q2,907508,374264,202207
dod_proc2001q3,988602,413699,202207
dod_proc2001q4,1012149,422391,202207
dod_proc2002q1,1020099,424586,202207
dod_proc2002q2,1055091,447074,202207
dod_proc2002q3,1090357,456333,202207
dod_proc2002q4,1069567,451538,202207
dod_proc2003q1,1220571,524983,202207
dod_proc2003q2,2052911,930691,202207
dod_proc2003q3,1325287,568851,202207
dod_proc2003q4,1178456,470796,202207
dod_proc2004q1,1143855,455865,202207
dod_proc2004q2,1130494,463391,202207
dod_proc2004q3,1090456,445301,202207
dod_proc2004q4,942345,375157,202207
dod_proc2005q1,962217,373329,202207
dod_proc2005q2,958964,384382,202207
dod_proc2005q3,978095,406539,202207
dod_proc2005q4,925405,383049,202207
dod_proc2006q1,946833,384962,202207
dod_proc2006q2,930047,385835,202207
dod_proc2006q3,904366,379288,202207
dod_proc2006q4,911627,372230,202207
dod_proc2007q1,947864,378451,202207
dod_proc2007q2,927864,370962,202207
dod_proc2007q3,910359,361152,202207
dod_proc2007q4,915421,358494,202207
dod_proc2008q1,908374,345669,202207
dod_proc2008q2,920230,357331,202207
dod_proc2008q3,941467,362032,202207
dod_proc2008q4,937115,356638,202207
dod_proc2009q1,940861,348092,202207
dod_proc2009q2,931548,352584,202207
dod_proc2009q3,907509,343839,202207
dod_proc2009q4,894683,336785,202207
dod_proc2010q1,861511,312885,202207
dod_proc2010q2,858957,317054,202207
dod_proc2010q3,853784,314489,202207
dod_proc2010q4,881000,317275,202207
dod_proc2011q1,876866,306066,202207
dod_proc2011q2,847074,311980,202207
dod_proc2011q3,846106,309007,202207
dod_proc2011q4,785593,286095,202207
dod_proc2012q1,704910,217684,202207
dod_proc2012q2,650119,200440,202207
dod_proc2012q3,610932,184472,202207
dod_proc2012q4,639044,184977,202207
dod_proc2013q1,644151,186549,202207
dod_proc2013q2,657569,194124,202207
dod_proc2013q3,678639,201617,202207
dod_proc2013q4,673704,200465,202207
dod_proc2014q1,632699,185997,202207
dod_proc2014q2,628567,185553,202207
dod_proc2014q3,623973,183435,202207
dod_proc2014q4,631060,182309,202207
dod_proc2015q1,695500,196503,202207
dod_proc2015q2,690514,196022,202207
dod_proc2015q3,690030,197352,202207
dod_proc2015q4,731818,190185,202207
dod_proc2016q1,866497,215696,202207
dod_proc2016q2,857341,214961,202207
dod_proc2016q3,869897,217974,202207
dod_proc2016q4,881020,221553,202207
dod_proc2017q1,984091,242681,202207
dod_proc2017q2,957657,239533,202207
dod_proc2017q3,955542,236906,202207
dod_proc2017q4,972859,244023,202207
dod_proc2018q1,1020050,247161,202207
dod_proc2018q2,992138,243935,202207
dod_proc2018q3,980486,243364,202207
dod_proc2018q4,1023028,248932,202207
dod_proc2019q1,1062896,251687,202207
dod_proc2019q2,1042150,249730,202207
dod_proc2019q3,1037400,250167,202207
dod_proc2019q4,1061137,251148,202207
dod_proc2020q1,1053269,241117,202207
dod_proc2020q2,946267,208433,202207
dod_proc2020q3,1072258,241029,202207
dod_proc2020q4,1140993,250856,202207
dod_proc2021q1,1132526,242793,202207
dod_proc2021q2,1056127,237079,202207
dod_proc2021q3,1108001,245165,202207
dod_proc2021q4,1035538,237642,202207
dod_proc2022q1,966444,231114,202207
