File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total Co-Insurance,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
zip5_m2007q1,2007-01-01 00:00:00,2007-03-31 00:00:00,82185012,7303888,24280760930.0442,384109175.010007,699858264.94984,437548075.590081,16772181970.1994,2946820,27,202207
zip5_m2007q2,2007-04-01 00:00:00,2007-06-30 00:00:00,81383400,7126881,24164254994.7036,362834103.079997,516971875.849915,421717133.080048,16675326290.161,2846392,37,202207
zip5_m2007q3,2007-07-01 00:00:00,2007-09-30 00:00:00,81385579,7147116,24185725695.3926,348890747.180006,454610323.309953,405047361.070053,16577840377.7209,2886782,42,202207
zip5_m2007q4,2007-10-01 00:00:00,2007-12-31 00:00:00,84225810,7300226,25096532944.3047,351220708.269997,415151385.349995,403874077.170051,16607879194.0449,2958652,36,202207
zip5_m2008q1,2008-01-01 00:00:00,2008-03-31 00:00:00,85051611,7395480,26207161190.8768,401755665.440017,812551935.919845,447414114.440113,17341995619.3754,3114635,1296,202207
zip5_m2008q2,2008-04-01 00:00:00,2008-06-30 00:00:00,84863381,7214295,26511912874.3453,383167327.330032,593265935.509808,433921583.04006,17414804071.1974,3060414,1522,202207
zip5_m2008q3,2008-07-01 00:00:00,2008-09-30 00:00:00,89673118,7496901,28055869395.9941,376045533.550017,528456155.509821,420107139.080071,18530855445.7654,3241714,1542,202207
zip5_m2008q4,2008-10-01 00:00:00,2008-12-31 00:00:00,94113237,7642851,29163495170.661,370535114.430008,460503284.93002,411838110.260054,19080185579.7273,3396623,1548,202207
zip5_m2009q1,2009-01-01 00:00:00,2009-03-31 00:00:00,96517389,7798993,30387075937.2613,420939452.410011,939410048.799797,482252551.519848,19161733766.0872,4126745,2766,202207
zip5_m2009q2,2009-04-01 00:00:00,2009-06-30 00:00:00,97550603,7675612,30872535328.9885,418441649.619994,672326767.910012,471094892.109837,19440612702.2375,3802954,3009,202207
