File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total Co-Insurance,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
dod_m2018q2,2018-04-01 00:00:00,2018-06-30 00:00:00,171441682,10099727,88394544433.1632,691727107.34,1405333279.62892,1067718251.22116,41370052444.0391,7768946,0,202210
dod_m2018q3,2018-07-01 00:00:00,2018-09-30 00:00:00,171550584,10292497,88611406867.9845,654684071.970012,1182647852.57912,989562050.470255,41132598815.9451,7918409,0,202210
dod_m2018q4,2018-10-01 00:00:00,2018-12-31 00:00:00,179366554,10831937,93363700659.7422,645984555.219976,1068078237.23928,981247957.390348,42839780733.3273,8060472,0,202210
dod_m2019q1,2019-01-01 00:00:00,2019-03-31 00:00:00,182102276,10483084,97562739722.3808,780158722.600092,2068510488.70199,1168089672.70006,44279453175.7515,8465188,0,202210
dod_m2019q2,2019-04-01 00:00:00,2019-06-30 00:00:00,181979224,10417527,98858802431.347,785151220.970134,1476607138.47957,1050087346.50021,45111313912.0945,8188324,0,202210
dod_m2019q3,2019-07-01 00:00:00,2019-09-30 00:00:00,183389327,10532392,98777899110.294,740375555.010164,1242212454.79937,973871358.730751,45203913883.4897,8005199,0,202210
dod_m2019q4,2019-10-01 00:00:00,2019-12-31 00:00:00,186787962,10945907,101109855258.829,702243174.720163,1100947913.70958,950288218.850423,46027392748.5795,8056941,0,202210
dod_m2020q1,2020-01-01 00:00:00,2020-03-31 00:00:00,177647866,10368931,99303937003.9141,822063367.590077,1977622515.24174,1065367133.03025,44451701990.0406,8466900,0,202210
dod_m2020q2,2020-04-01 00:00:00,2020-06-30 00:00:00,136543165,8845407,81781216336.9582,429172771.680023,942622430.100157,722660005.610315,36321134204.1519,7369735,0,202210
dod_m2020q3,2020-07-01 00:00:00,2020-09-30 00:00:00,180988551,10445715,101217893299.644,511247643.430013,1092521706.76043,810348390.590344,44832928810.0996,7886718,0,202210
dod_m2020q4,2020-10-01 00:00:00,2020-12-31 00:00:00,185684606,10934381,103627795279.876,677731203.220079,973377071.780386,792440267.850625,45463355346.0959,8244046,0,202210
dod_m2021q1,2021-01-01 00:00:00,2021-03-31 00:00:00,190887344,10894781,104825062714.103,801751002.920057,1893610124.91109,1011674347.08045,43013221243.7317,9499138,0,202210
dod_m2021q2,2021-04-01 00:00:00,2021-06-30 00:00:00,197404982,11069090,110417706916.461,878325965.270122,1443024498.04094,1005624745.65132,44422171477.9273,8668621,0,202210
dod_m2021q3,2021-07-01 00:00:00,2021-09-30 00:00:00,199749869,11366424,111610248173.891,841216086.930104,1220183235.62055,945670356.092551,45056582750.0282,8361707,0,202210
dod_m2021q4,2021-10-01 00:00:00,2021-12-31 00:00:00,200862610,11545321,112786715433.608,810587113.270099,1055267961.19039,898956572.88199,44922006514.6259,8128413,0,202210
dod_m2022q1,2022-01-01 00:00:00,2022-03-31 00:00:00,199938919,11267653,114268458622.516,897695853.960113,1966354265.24973,1087596227.64303,44619741174.5966,8443867,0,202210
dod_m2022q2,2022-04-01 00:00:00,2022-06-30 00:00:00,194544960,11017821,112355553070.107,900941394.260066,1371727544.48104,985381181.741326,43435529173.2712,7222277,0,202210
