File Name,Records,Distinct Patients,update_ym
zip5_diag2018q2,233398711,10099689,202210
zip5_diag2018q3,234836310,10292496,202210
zip5_diag2018q4,243731427,10831934,202210
zip5_diag2019q1,251418798,10483084,202210
zip5_diag2019q2,255505586,10417525,202210
zip5_diag2019q3,257585350,10532392,202210
zip5_diag2019q4,261331478,10945907,202210
zip5_diag2020q1,255322869,10368929,202210
zip5_diag2020q2,208838072,8845404,202210
zip5_diag2020q3,265907500,10445715,202210
zip5_diag2020q4,270381197,10934381,202210
zip5_diag2021q1,281480696,10894779,202210
zip5_diag2021q2,292121233,11069085,202210
zip5_diag2021q3,293488067,11366424,202210
zip5_diag2021q4,291787146,11545320,202210
zip5_diag2022q1,293390426,11267653,202210
zip5_diag2022q2,286685278,11017821,202210
