File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total Co-Insurance,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
zip5_m2018q2,2018-04-01 00:00:00,2018-06-30 00:00:00,171441682,10099727,88394544433.1023,691727107.339959,1405333279.62884,1067718251.22149,41370052443.8627,7768946,0,202210
zip5_m2018q3,2018-07-01 00:00:00,2018-09-30 00:00:00,171550584,10292497,88611406867.9089,654684071.969979,1182647852.57913,989562050.470502,41132598815.7821,7918409,0,202210
zip5_m2018q4,2018-10-01 00:00:00,2018-12-31 00:00:00,179366554,10831937,93363700659.521,645984555.219954,1068078237.23935,981247957.390377,42839780733.1971,8060472,0,202210
zip5_m2019q1,2019-01-01 00:00:00,2019-03-31 00:00:00,182102276,10483084,97562739722.1824,780158722.600078,2068510488.70274,1168089672.6998,44279453175.8573,8465188,0,202210
zip5_m2019q2,2019-04-01 00:00:00,2019-06-30 00:00:00,181979224,10417527,98858802431.2332,785151220.970127,1476607138.47968,1050087346.49969,45111313912.2486,8188324,0,202210
zip5_m2019q3,2019-07-01 00:00:00,2019-09-30 00:00:00,183389327,10532392,98777899110.1744,740375555.010141,1242212454.79912,973871358.730201,45203913883.6452,8005199,0,202210
zip5_m2019q4,2019-10-01 00:00:00,2019-12-31 00:00:00,186787962,10945907,101109855258.745,702243174.720169,1100947913.7093,950288218.849948,46027392748.6665,8056941,0,202210
zip5_m2020q1,2020-01-01 00:00:00,2020-03-31 00:00:00,177647866,10368931,99303937003.7618,822063367.590031,1977622515.24201,1065367133.03006,44451701990.0911,8466900,0,202210
zip5_m2020q2,2020-04-01 00:00:00,2020-06-30 00:00:00,136543165,8845407,81781216336.9475,429172771.680019,942622430.10017,722660005.610182,36321134204.0215,7369735,0,202210
zip5_m2020q3,2020-07-01 00:00:00,2020-09-30 00:00:00,180988551,10445715,101217893299.574,511247643.430009,1092521706.76066,810348390.590378,44832928810.1806,7886718,0,202210
zip5_m2020q4,2020-10-01 00:00:00,2020-12-31 00:00:00,185684606,10934381,103627795279.882,677731203.220078,973377071.78042,792440267.850705,45463355346.1778,8244046,0,202210
zip5_m2021q1,2021-01-01 00:00:00,2021-03-31 00:00:00,190887344,10894781,104825062714.184,801751002.920031,1893610124.91155,1011674347.08036,43013221243.628,9499138,0,202210
zip5_m2021q2,2021-04-01 00:00:00,2021-06-30 00:00:00,197404982,11069090,110417706916.689,878325965.270081,1443024498.04087,1005624745.6504,44422171478.1747,8668621,0,202210
zip5_m2021q3,2021-07-01 00:00:00,2021-09-30 00:00:00,199749869,11366424,111610248174.176,841216086.930062,1220183235.62048,945670356.090899,45056582750.3505,8361707,0,202210
zip5_m2021q4,2021-10-01 00:00:00,2021-12-31 00:00:00,200862610,11545321,112786715433.926,810587113.270077,1055267961.19034,898956572.880563,44922006514.9594,8128413,0,202210
zip5_m2022q1,2022-01-01 00:00:00,2022-03-31 00:00:00,199938919,11267653,114268458622.174,897695853.960129,1966354265.25043,1087596227.64147,44619741174.7482,8443867,0,202210
zip5_m2022q2,2022-04-01 00:00:00,2022-06-30 00:00:00,194544960,11017821,112355553069.714,900941394.26006,1371727544.481,985381181.739997,43435529173.3218,7222277,0,202210
