year,table,row_count,start_date,end_date,complete_year,update_ym
2018,confinement,1652824,2018-04-01 00:00:00,2018-12-31 00:00:00,0,202210
2019,confinement,2296608,2019-01-01 00:00:00,2019-12-31 00:00:00,1,202210
2020,confinement,2066527,2020-01-01 00:00:00,2020-12-31 00:00:00,1,202210
2021,confinement,2238430,2021-01-01 00:00:00,2021-12-31 00:00:00,1,202210
2022,confinement,1106741,2022-01-01 00:00:00,2022-06-30 00:00:00,0,202210
2018,diagnostic,711966448,,,0,202210
2019,diagnostic,1025841212,,,1,202210
2020,diagnostic,1000449638,,,1,202210
2021,diagnostic,1158877142,,,1,202210
2022,diagnostic,580075704,,,0,202210
,mbr_co_enroll,92445133,2007-01-01 00:00:00,2022-06-30 00:00:00,,202210
,mbr_enroll,157260336,2007-01-01 00:00:00,2022-06-30 00:00:00,,202210
2021,lab_result,341081506,2021-07-01 00:00:00,2021-12-31 00:00:00,0,202210
2022,lab_result,346941957,2022-01-01 00:00:00,2022-06-30 00:00:00,0,202210
,lu_diagnosis,335394,,,,202210
,lu_ndc,497927,,,,202210
,lu_procedure,341802,,,,202210
2018,medical,522358820,2018-04-01 00:00:00,2018-12-31 00:00:00,0,202210
2019,medical,734258789,2019-01-01 00:00:00,2019-12-31 00:00:00,1,202210
2020,medical,680864188,2020-01-01 00:00:00,2020-12-31 00:00:00,1,202210
2021,medical,788904805,2021-01-01 00:00:00,2021-12-31 00:00:00,1,202210
2022,medical,394483879,2022-01-01 00:00:00,2022-06-30 00:00:00,0,202210
2018,procedure,2995651,,,0,202210
2019,procedure,4203815,,,1,202210
2020,procedure,4214772,,,1,202210
2021,procedure,4383112,,,1,202210
2022,procedure,1956890,,,0,202210
,provider_bridge,55590073,,,,202210
,provider,10456400,,,,202210
2007,rx,157895113,2007-01-01 00:00:00,2007-12-31 00:00:00,1,202210
2008,rx,160974458,2008-01-01 00:00:00,2008-12-31 00:00:00,1,202210
2009,rx,163261722,2009-01-01 00:00:00,2009-12-31 00:00:00,1,202210
2010,rx,163099773,2010-01-01 00:00:00,2010-12-31 00:00:00,1,202210
2011,rx,170376326,2011-01-01 00:00:00,2011-12-31 00:00:00,1,202210
2012,rx,176009405,2012-01-01 00:00:00,2012-12-31 00:00:00,1,202210
2013,rx,184328487,2013-01-01 00:00:00,2013-12-31 00:00:00,1,202210
2014,rx,174168594,2014-01-01 00:00:00,2014-12-31 00:00:00,1,202210
2015,rx,181764040,2015-01-01 00:00:00,2015-12-31 00:00:00,1,202210
2016,rx,216393372,2016-01-01 00:00:00,2016-12-31 00:00:00,1,202210
2017,rx,237662101,2017-01-01 00:00:00,2017-12-31 00:00:00,1,202210
2018,rx,238405734,2018-01-01 00:00:00,2018-12-31 00:00:00,1,202210
2019,rx,242751800,2019-01-01 00:00:00,2019-12-31 00:00:00,1,202210
2020,rx,244798284,2020-01-01 00:00:00,2020-12-31 00:00:00,1,202210
2021,rx,258367799,2021-01-01 00:00:00,2021-12-31 00:00:00,1,202210
2022,rx,133023118,2022-01-01 00:00:00,2022-06-30 00:00:00,0,202210
