File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total Co-Insurance,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
dod_c2018q2,2018-04-01 00:00:00,2018-06-30 00:00:00,550495,407812,35729026035.1505,32727700.15,64215148.95,305752190.59,12781444840.2193,8200,0,202210
dod_c2018q3,2018-07-01 00:00:00,2018-09-30 00:00:00,544459,403645,35289126185.9704,30027851.67,57904415.6000001,280721081.750001,12627028034.4892,7086,0,202210
dod_c2018q4,2018-10-01 00:00:00,2018-12-31 00:00:00,557870,412868,36121317876.3107,30236987.52,53136109.35,277951108.89,13065980228.0403,7444,0,202210
dod_c2019q1,2019-01-01 00:00:00,2019-03-31 00:00:00,585867,428608,37377360281.2407,37673276.3,85309402.41,359701548.949999,14011444441.0407,5632,0,202210
dod_c2019q2,2019-04-01 00:00:00,2019-06-30 00:00:00,575437,421152,36135192348.8599,32982218.58,67744651.71,307733991.14,13919092292.6506,1680,0,202210
dod_c2019q3,2019-07-01 00:00:00,2019-09-30 00:00:00,566244,416415,35437666372.7502,28579023.69,60064783.65,282953014.04,13675820369.6806,404,0,202210
dod_c2019q4,2019-10-01 00:00:00,2019-12-31 00:00:00,569060,418327,36760840325.3898,26585352.17,55116287.04,274919682.609999,13856203183.9008,357,0,202210
dod_c2020q1,2020-01-01 00:00:00,2020-03-31 00:00:00,564209,414158,36897408489.9303,33081393.51,84633480.12,349555453.720001,14028878679.7706,485,0,202210
dod_c2020q2,2020-04-01 00:00:00,2020-06-30 00:00:00,454980,346958,31077636061.0301,24300489.74,57941798.3500001,246532421.22,11889291946.9798,301,0,202210
dod_c2020q3,2020-07-01 00:00:00,2020-09-30 00:00:00,513891,389133,36578621882.9503,26533865.19,54611383.74,260272998.87,13617800145.1601,372,0,202210
dod_c2020q4,2020-10-01 00:00:00,2020-12-31 00:00:00,533447,403385,39576709732.2705,23871194.37,48494594.62,238161874.22,14747827492.3895,380,0,202210
dod_c2021q1,2021-01-01 00:00:00,2021-03-31 00:00:00,554188,412407,42288377604.3407,64980967.83,73313919.0899999,300912414.99,15227557784.8596,416,0,202210
dod_c2021q2,2021-04-01 00:00:00,2021-06-30 00:00:00,558917,415986,41633869931.5809,72083927.23,64007804.9600001,289738030.990001,14576032293.5001,250,0,202210
dod_c2021q3,2021-07-01 00:00:00,2021-09-30 00:00:00,565333,424387,42803035655.1905,68583385.52,59999742.6799999,283498332.470002,15139704706.0496,285,0,202210
dod_c2021q4,2021-10-01 00:00:00,2021-12-31 00:00:00,559992,418828,42200577674.6407,70554485.23,50458118.82,261659150.310001,14851388181.2797,243,0,202210
dod_c2022q1,2022-01-01 00:00:00,2022-03-31 00:00:00,563056,420387,42272257408.5408,71038325.97,70496580.72,322768206.020001,15378964388.0796,230,0,202210
dod_c2022q2,2022-04-01 00:00:00,2022-06-30 00:00:00,543685,409860,35916479068.7306,67066179.99,53119914.6100001,273762010.9,13644378284.7898,66,0,202210
dod_c2007q1,2007-01-01 00:00:00,2007-03-31 00:00:00,322796,274559,9864735716.52003,46530642.81,37109776.9,98781053.9600006,5289221591.10943,15712,0,202207
dod_c2007q2,2007-04-01 00:00:00,2007-06-30 00:00:00,317007,269844,9559077592.49996,38203616.91,28575553.62,87656982.3500003,5214053117.92945,15110,0,202207
dod_c2007q3,2007-07-01 00:00:00,2007-09-30 00:00:00,298203,256321,9114460516.33003,34051446.9,27524850.17,86309373.4100002,4862900537.35936,14725,0,202207
dod_c2007q4,2007-10-01 00:00:00,2007-12-31 00:00:00,308503,262570,9955011247.39997,33366784.21,22279158.61,82413064.1400001,4753630854.80919,14662,0,202207
dod_c2008q1,2008-01-01 00:00:00,2008-03-31 00:00:00,331224,278274,10869750319.31,50609454.04,42377410.21,103161325.08,5233053660.95914,14523,0,202207
dod_c2008q2,2008-04-01 00:00:00,2008-06-30 00:00:00,320364,269674,10570433262.69,42263165.01,32259453.41,91111205.7700001,5145441233.81922,12609,0,202207
dod_c2008q3,2008-07-01 00:00:00,2008-09-30 00:00:00,303143,256694,9870127458.32007,40755438.85,29577283.23,86842728.1699997,4665971860.66925,13609,0,202207
dod_c2008q4,2008-10-01 00:00:00,2008-12-31 00:00:00,297690,250217,10493673006.34,40164042.47,27135627.64,80673915.5599997,4668326722.64925,14519,0,202207
dod_c2009q1,2009-01-01 00:00:00,2009-03-31 00:00:00,320718,267204,12048802118.0399,51473542.64,48989195.93,110404375.21,5330044788.24906,14552,0,202207
dod_c2009q2,2009-04-01 00:00:00,2009-06-30 00:00:00,341564,280752,12683639630.3999,46959739.93,33482090.15,100606993.56,6077001355.55902,13233,0,202207
dod_c2009q3,2009-07-01 00:00:00,2009-09-30 00:00:00,337718,277314,12549707902.58,43993815.38,30976047.1900001,96453359.1199998,5924431200.50905,13476,0,202207
dod_c2009q4,2009-10-01 00:00:00,2009-12-31 00:00:00,334975,273367,12869684359.1799,43427324.23,27244818.12,91046262.5999996,6002795754.0491,13434,0,202207
dod_c2010q1,2010-01-01 00:00:00,2010-03-31 00:00:00,339118,274372,13091310894.0499,15663608.92,47719805.7300001,166477419.75,6062182555.52913,13639,0,202207
dod_c2010q2,2010-04-01 00:00:00,2010-06-30 00:00:00,332250,268521,12833092683.08,14247923.58,36168661.51,147969713.11,5943000899.9793,12790,0,202207
dod_c2010q3,2010-07-01 00:00:00,2010-09-30 00:00:00,330778,268228,12855773644.65,13792135.36,32683604.75,136806221.72,5893390680.51928,12925,0,202207
dod_c2010q4,2010-10-01 00:00:00,2010-12-31 00:00:00,329108,266216,13524738128.96,13188842.69,29878616.11,130919277.07,5672023443.01941,21202,0,202207
dod_c2011q1,2011-01-01 00:00:00,2011-03-31 00:00:00,344826,276296,14463500903.86,14155010.49,51482302.0000001,180591499.04,6008280882.26921,23781,0,202207
dod_c2011q2,2011-04-01 00:00:00,2011-06-30 00:00:00,337822,271682,13634024511.9201,13281967.26,40595575.39,159586895.24,6100639082.60919,12254,0,202207
dod_c2011q3,2011-07-01 00:00:00,2011-09-30 00:00:00,336721,270297,13788417330.91,12058763.69,37556699.63,151856494.270001,6153713938.92922,12666,0,202207
dod_c2011q4,2011-10-01 00:00:00,2011-12-31 00:00:00,334515,268347,14087702942.2101,11738786.95,34199996.27,145264292.19,6071919923.81928,13658,0,202207
dod_c2012q1,2012-01-01 00:00:00,2012-03-31 00:00:00,369730,290995,16447529774.77,14071975.42,56994397.28,226793410.25,6957711073.28948,16901,0,202207
dod_c2012q2,2012-04-01 00:00:00,2012-06-30 00:00:00,342401,273267,15030400632.0,12220024.3,42209057.4200001,183915635.65,6326607899.55941,15086,0,202207
dod_c2012q3,2012-07-01 00:00:00,2012-09-30 00:00:00,350554,278537,15494468276.8,9329899.14,40139888.7600001,177812962.54,6508542619.0294,16057,0,202207
