File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total Co-Insurance,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
dod_m2018q2,2018-04-01 00:00:00,2018-06-30 00:00:00,171441682,10099727,88394544433.1632,691727107.34,1405333279.62892,1067718251.22116,41370052444.0391,7768946,0,202210
dod_m2018q3,2018-07-01 00:00:00,2018-09-30 00:00:00,171550584,10292497,88611406867.9845,654684071.970012,1182647852.57912,989562050.470255,41132598815.9451,7918409,0,202210
dod_m2018q4,2018-10-01 00:00:00,2018-12-31 00:00:00,179366554,10831937,93363700659.7422,645984555.219976,1068078237.23928,981247957.390348,42839780733.3273,8060472,0,202210
dod_m2019q1,2019-01-01 00:00:00,2019-03-31 00:00:00,182102276,10483084,97562739722.3808,780158722.600092,2068510488.70199,1168089672.70006,44279453175.7515,8465188,0,202210
dod_m2019q2,2019-04-01 00:00:00,2019-06-30 00:00:00,181979224,10417527,98858802431.347,785151220.970134,1476607138.47957,1050087346.50021,45111313912.0945,8188324,0,202210
dod_m2019q3,2019-07-01 00:00:00,2019-09-30 00:00:00,183389327,10532392,98777899110.294,740375555.010164,1242212454.79937,973871358.730751,45203913883.4897,8005199,0,202210
dod_m2019q4,2019-10-01 00:00:00,2019-12-31 00:00:00,186787962,10945907,101109855258.829,702243174.720163,1100947913.70958,950288218.850423,46027392748.5795,8056941,0,202210
dod_m2020q1,2020-01-01 00:00:00,2020-03-31 00:00:00,177647866,10368931,99303937003.9141,822063367.590077,1977622515.24174,1065367133.03025,44451701990.0406,8466900,0,202210
dod_m2020q2,2020-04-01 00:00:00,2020-06-30 00:00:00,136543165,8845407,81781216336.9582,429172771.680023,942622430.100157,722660005.610315,36321134204.1519,7369735,0,202210
dod_m2020q3,2020-07-01 00:00:00,2020-09-30 00:00:00,180988551,10445715,101217893299.644,511247643.430013,1092521706.76043,810348390.590344,44832928810.0996,7886718,0,202210
dod_m2020q4,2020-10-01 00:00:00,2020-12-31 00:00:00,185684606,10934381,103627795279.876,677731203.220079,973377071.780386,792440267.850625,45463355346.0959,8244046,0,202210
dod_m2021q1,2021-01-01 00:00:00,2021-03-31 00:00:00,190887344,10894781,104825062714.103,801751002.920057,1893610124.91109,1011674347.08045,43013221243.7317,9499138,0,202210
dod_m2021q2,2021-04-01 00:00:00,2021-06-30 00:00:00,197404982,11069090,110417706916.461,878325965.270122,1443024498.04094,1005624745.65132,44422171477.9273,8668621,0,202210
dod_m2021q3,2021-07-01 00:00:00,2021-09-30 00:00:00,199749869,11366424,111610248173.891,841216086.930104,1220183235.62055,945670356.092551,45056582750.0282,8361707,0,202210
dod_m2021q4,2021-10-01 00:00:00,2021-12-31 00:00:00,200862610,11545321,112786715433.608,810587113.270099,1055267961.19039,898956572.88199,44922006514.6259,8128413,0,202210
dod_m2022q1,2022-01-01 00:00:00,2022-03-31 00:00:00,199938919,11267653,114268458622.516,897695853.960113,1966354265.24973,1087596227.64303,44619741174.5966,8443867,0,202210
dod_m2022q2,2022-04-01 00:00:00,2022-06-30 00:00:00,194544960,11017821,112355553070.107,900941394.260066,1371727544.48104,985381181.741326,43435529173.2712,7222277,0,202210
dod_m2007q1,2007-01-01 00:00:00,2007-03-31 00:00:00,82185012,7303888,24280760930.0434,384109175.010013,699858264.949888,437548075.590066,16772181970.204,2946820,27,202207
dod_m2007q2,2007-04-01 00:00:00,2007-06-30 00:00:00,81383400,7126881,24164254994.7064,362834103.080013,516971875.849953,421717133.080013,16675326290.163,2846392,37,202207
dod_m2007q3,2007-07-01 00:00:00,2007-09-30 00:00:00,81385579,7147116,24185725695.3915,348890747.180006,454610323.309989,405047361.070005,16577840377.7324,2886782,42,202207
dod_m2007q4,2007-10-01 00:00:00,2007-12-31 00:00:00,84225810,7300226,25096532944.3069,351220708.269996,415151385.349997,403874077.170031,16607879194.0605,2958652,36,202207
dod_m2008q1,2008-01-01 00:00:00,2008-03-31 00:00:00,85051611,7395480,26207161190.8789,401755665.440035,812551935.919958,447414114.440062,17341995619.42,3114635,1296,202207
dod_m2008q2,2008-04-01 00:00:00,2008-06-30 00:00:00,84863381,7214295,26511912874.3473,383167327.330025,593265935.509834,433921583.040031,17414804071.2596,3060414,1522,202207
dod_m2008q3,2008-07-01 00:00:00,2008-09-30 00:00:00,89673118,7496901,28055869396.0053,376045533.550018,528456155.509834,420107139.080026,18530855445.8435,3241714,1542,202207
dod_m2008q4,2008-10-01 00:00:00,2008-12-31 00:00:00,94113237,7642851,29163495170.6862,370535114.430013,460503284.930002,411838110.260037,19080185579.8161,3396623,1548,202207
dod_m2009q1,2009-01-01 00:00:00,2009-03-31 00:00:00,96517389,7798993,30387075937.2791,420939452.409994,939410048.79996,482252551.519796,19161733766.1774,4126745,2766,202207
dod_m2009q2,2009-04-01 00:00:00,2009-06-30 00:00:00,97550603,7675612,30872535329.0041,418441649.619984,672326767.910094,471094892.109799,19440612702.3308,3802954,3009,202207
dod_m2009q3,2009-07-01 00:00:00,2009-09-30 00:00:00,97889755,7721669,30867791313.5344,410318910.219975,562062545.710006,446921735.209862,19347289584.0846,3753010,3111,202207
dod_m2009q4,2009-10-01 00:00:00,2009-12-31 00:00:00,97467707,7753694,31086635319.8662,403185726.25999,473917194.569999,429747570.159916,19388170537.1142,4159719,3581,202207
dod_m2010q1,2010-01-01 00:00:00,2010-03-31 00:00:00,95616240,7479015,31103139201.2817,399083830.470022,972549268.019846,560294693.079935,19139716087.0582,4209474,6343,202207
dod_m2010q2,2010-04-01 00:00:00,2010-06-30 00:00:00,96605753,7396325,31684114077.4662,401780525.34002,700601925.590377,543875610.489953,19438281063.3114,4169182,5839,202207
dod_m2010q3,2010-07-01 00:00:00,2010-09-30 00:00:00,98098254,7542803,32015816434.9064,398160703.12002,606781506.140262,519271123.670017,19493400037.2358,4003864,6067,202207
dod_m2010q4,2010-10-01 00:00:00,2010-12-31 00:00:00,99708939,7676554,32962506563.6897,391961745.429997,528814178.590124,514566895.649982,19495909196.3739,4269174,5840,202207
dod_m2011q1,2011-01-01 00:00:00,2011-03-31 00:00:00,99614104,7687200,33676874385.0723,415429107.910017,1094437544.49018,607728385.230001,19461241237.0796,4713069,5157,202207
