year,quarter,table,row_count,pat_count,start_date,end_date
2018,q2,confinement,550495,407812,2018-04-01 00:00:00,2018-06-30 00:00:00
2018,q3,confinement,544459,403645,2018-07-01 00:00:00,2018-09-30 00:00:00
2018,q4,confinement,557870,412868,2018-10-01 00:00:00,2018-12-31 00:00:00
2019,q1,confinement,585867,428608,2019-01-01 00:00:00,2019-03-31 00:00:00
2019,q2,confinement,575437,421152,2019-04-01 00:00:00,2019-06-30 00:00:00
2019,q3,confinement,566244,416415,2019-07-01 00:00:00,2019-09-30 00:00:00
2019,q4,confinement,569060,418327,2019-10-01 00:00:00,2019-12-31 00:00:00
2020,q1,confinement,564209,414158,2020-01-01 00:00:00,2020-03-31 00:00:00
2020,q2,confinement,454980,346958,2020-04-01 00:00:00,2020-06-30 00:00:00
2020,q3,confinement,513891,389133,2020-07-01 00:00:00,2020-09-30 00:00:00
2020,q4,confinement,533447,403385,2020-10-01 00:00:00,2020-12-31 00:00:00
2021,q1,confinement,554188,412407,2021-01-01 00:00:00,2021-03-31 00:00:00
2021,q2,confinement,558917,415986,2021-04-01 00:00:00,2021-06-30 00:00:00
2021,q3,confinement,565333,424387,2021-07-01 00:00:00,2021-09-30 00:00:00
2021,q4,confinement,559992,418828,2021-10-01 00:00:00,2021-12-31 00:00:00
2022,q1,confinement,563056,420387,2022-01-01 00:00:00,2022-03-31 00:00:00
2022,q2,confinement,543685,409860,2022-04-01 00:00:00,2022-06-30 00:00:00
2007,q1,confinement,322796,274559,2007-01-01 00:00:00,2007-03-31 00:00:00
2007,q2,confinement,317007,269844,2007-04-01 00:00:00,2007-06-30 00:00:00
2007,q3,confinement,298203,256321,2007-07-01 00:00:00,2007-09-30 00:00:00
2007,q4,confinement,308503,262570,2007-10-01 00:00:00,2007-12-31 00:00:00
2008,q1,confinement,331224,278274,2008-01-01 00:00:00,2008-03-31 00:00:00
2008,q2,confinement,320364,269674,2008-04-01 00:00:00,2008-06-30 00:00:00
2008,q3,confinement,303143,256694,2008-07-01 00:00:00,2008-09-30 00:00:00
2008,q4,confinement,297690,250217,2008-10-01 00:00:00,2008-12-31 00:00:00
2009,q1,confinement,320718,267204,2009-01-01 00:00:00,2009-03-31 00:00:00
2009,q2,confinement,341564,280752,2009-04-01 00:00:00,2009-06-30 00:00:00
2009,q3,confinement,337718,277314,2009-07-01 00:00:00,2009-09-30 00:00:00
2009,q4,confinement,334975,273367,2009-10-01 00:00:00,2009-12-31 00:00:00
2010,q1,confinement,339118,274372,2010-01-01 00:00:00,2010-03-31 00:00:00
2010,q2,confinement,332250,268521,2010-04-01 00:00:00,2010-06-30 00:00:00
2010,q3,confinement,330778,268228,2010-07-01 00:00:00,2010-09-30 00:00:00
2010,q4,confinement,329108,266216,2010-10-01 00:00:00,2010-12-31 00:00:00
2011,q1,confinement,344826,276296,2011-01-01 00:00:00,2011-03-31 00:00:00
2011,q2,confinement,337822,271682,2011-04-01 00:00:00,2011-06-30 00:00:00
2011,q3,confinement,336721,270297,2011-07-01 00:00:00,2011-09-30 00:00:00
2011,q4,confinement,334515,268347,2011-10-01 00:00:00,2011-12-31 00:00:00
2012,q1,confinement,369730,290995,2012-01-01 00:00:00,2012-03-31 00:00:00
2012,q2,confinement,342401,273267,2012-04-01 00:00:00,2012-06-30 00:00:00
2012,q3,confinement,350554,278537,2012-07-01 00:00:00,2012-09-30 00:00:00
2012,q4,confinement,358868,283652,2012-10-01 00:00:00,2012-12-31 00:00:00
2013,q1,confinement,375847,295209,2013-01-01 00:00:00,2013-03-31 00:00:00
2013,q2,confinement,368723,290275,2013-04-01 00:00:00,2013-06-30 00:00:00
2013,q3,confinement,368519,289879,2013-07-01 00:00:00,2013-09-30 00:00:00
2013,q4,confinement,365963,287637,2013-10-01 00:00:00,2013-12-31 00:00:00
2014,q1,confinement,356680,277606,2014-01-01 00:00:00,2014-03-31 00:00:00
