"year","zip5","denom","cases"
2020,"76225",1659,9
2020,"75234",14482,14
2016,"75455",12897,18
2018,"33905",2,0
2021,"75224",19461,19
2019,"47909",1,0
2018,"54956",1,0
2018,"67901",1,0
2019,"37349",1,0
2021,"74736",2,0
2020,"76439",83,0
2017,"78703",7589,19
2020,"76228",446,8
2019,"77226",318,0
2019,"78123",1410,1
2016,"78861",6724,12
2021,"78062",3,0
2020,"77640",9541,6
2018,"78753",25045,29
2018,"95019",1,0
2016,"74736",2,0
2017,"92592",1,0
2017,"78710",1,0
2019,"77554",3460,5
2021,"75146",12252,16
2021,"92261",1,0
2019,"75119",13874,22
2020,"22025",1,0
2019,"78410",14257,19
2018,"76856",1895,3
2016,"02554",2,0
2017,"90255",1,0
2016,"75101",365,0
2020,"36610",1,0
2016,"76453",517,4
2022,"78623",120,0
2016,"76704",5793,11
2020,"79410",2988,11
2019,"63122",2,0
2018,"74033",1,0
2018,"78335",1081,2
2017,"71023",1,0
2018,"78386",2,0
2016,"42420",1,0
2016,"11731",1,0
2018,"23860",1,0
2019,"78109",21203,48
2019,"76162",317,0
2018,"77205",310,0
2017,"78757",9961,26
2020,"79256",136,0
2018,"76841",45,0
2020,"79045",9167,10
2021,"88202",1,0
2019,"69905",1,0
2018,"76039",14162,19
2017,"77230",265,0
2018,"77288",269,0
2017,"76182",12813,46
2021,"90255",1,0
2021,"78161",418,0
2020,"75492",259,1
2020,"76450",7237,80
2016,"78007",67,0
2018,"45431",1,0
2020,"85207",1,0
2022,"77612",1928,1
2018,"75370",245,0
2017,"75180",14584,20
2018,"78578",6092,5
2021,"75570",4939,8
2021,"77707",9023,18
2016,"46224",3,0
2021,"77611",4277,10
2016,"75606",606,1
2016,"29621",1,0
2020,"64133",1,0
2017,"79015",6462,22
2017,"00602",1,0
2019,"76238",144,0
2017,"98226",1,0
2018,"76650",44,1
2022,"79912",12972,22
2021,"79759",5,0
2019,"78731",9294,24
2018,"75860",3162,3
2022,"77456",342,0
2017,"75287",18658,32
2022,"76519",93,0
2017,"75148",3713,9
2018,"76439",83,0
2018,"75320",5,0
2020,"78039",902,2
2020,"88032",1,0
2018,"76363",135,0
2018,"95336",1,0
2018,"78161",405,0
2016,"76872",323,3
2017,"75835",7928,21
2017,"77293",714,2
2019,"13746",1,0
2016,"00987",1,0
2019,"15108",1,0
2018,"83814",1,0
2016,"77834",940,3
2021,"75412",331,0
2021,"97317",1,0
2018,"76574",10263,14
2019,"75684",3459,11
2018,"75275",3,0
2020,"78873",1140,0
2017,"78014",3651,4
2019,"76671",1334,1
2016,"02914",2,0
2019,"42240",1,0
2016,"79525",1352,5
2022,"77051",8769,5
2019,"73448",3,0
2019,"79098",166,0
2019,"43221",1,0
2020,"85258",1,0
2022,"75601",4399,6
2021,"77446",545,1
2016,"77408",1,0
2016,"79526",360,0
2018,"75713",499,0
2016,"79755",55,0
2017,"75504",268,2
2017,"77226",324,0
2021,"79367",316,0
2020,"98502",1,0
2018,"76870",80,0
2021,"22602",1,0
2018,"77267",656,0
2018,"78375",2335,0
2022,"77222",155,0
2017,"76309",7454,28
2020,"75206",9570,11
2018,"78405",12183,9
2017,"75320",5,0
2017,"79502",734,5
2017,"95123",1,0
2020,"61701",1,0
2019,"78609",1398,1
2020,"33837",1,0
2018,"76192",1,0
2018,"77863",232,0
2020,"77345",9330,18
2021,"79345",391,0
2020,"77360",3999,14
2022,"75252",2436,4
2022,"78580",4935,2
2020,"55108",1,0
2020,"23059",1,0
2019,"76802",2603,6
2021,"28202",1,0
2018,"86444",2,0
2016,"75691",2453,5
2017,"75428",4272,17
2017,"29053",1,0
2019,"75551",6221,15
2019,"70769",1,0
2017,"90280",1,0
2019,"92554",1,0
2018,"77705",15386,16
2018,"78283",457,0
2017,"78205",1251,4
2020,"78763",235,0
2018,"78523",1132,1
2019,"79501",1928,6
2016,"78594",1357,0
2021,"71913",4,0
2018,"78843",1,0
2021,"72766",1,0
2018,"87710",2,0
2021,"75670",10325,18
2021,"88252",1,0
2020,"78953",491,0
2018,"76268",123,0
2022,"78249",7046,5
2021,"79241",1241,0
2016,"87710",1,0
2022,"75603",1427,1
2021,"70072",2,0
2017,"63060",1,0
2018,"76866",290,0
2019,"01604",1,0
2018,"20639",3,0
2021,"79059",240,1
2016,"55321",1,0
2017,"90017",1,0
2019,"76798",13,0
2021,"78468",294,0
2019,"68376",1,0
2017,"43615",1,0
2019,"87031",1,0
2017,"75790",2396,6
2019,"78222",14231,23
2021,"94404",1,0
2021,"95661",1,0
2020,"65233",1,0
2019,"11729",1,0
2019,"91361",1,0
2021,"85249",1,0
2019,"08648",1,0
2020,"72554",1,0
2020,"77008",9850,12
2020,"77872",1050,5
2021,"64133",1,0
2018,"71836",11,0
2019,"77588",483,1
2018,"78669",5057,5
2020,"77878",405,0
2018,"46041",2,0
2018,"60053",1,0
2021,"75559",3388,7
2019,"76679",925,9
2021,"87505",2,0
2016,"75429",204,0
2019,"75658",81,0
2020,"78542",41433,10
2021,"77586",8607,14
2016,"76162",264,0
2019,"97132",1,0
2018,"75104",22168,35
2020,"76351",966,14
2016,"11552",1,0
2021,"90305",2,0
2022,"78215",335,1
2022,"76306",4881,6
2022,"78761",219,0
2017,"76557",2642,6
2016,"77066",14741,18
2022,"76088",1986,1
2021,"75939",2329,1
2017,"77440",36,0
2022,"75560",295,1
2022,"79056",3,0
2020,"97062",1,0
2019,"75153",347,0
2016,"27518",1,0
2018,"46254",1,0
2021,"77450",24473,35
2018,"76113",72,0
2020,"76054",6134,10
2018,"75094",7065,13
2020,"76945",1186,3
2021,"78691",655,4
2018,"78622",207,0
2021,"75220",15907,9
2022,"79530",90,1
2022,"78836",29,0
2018,"31907",2,0
2016,"79776",4,0
2020,"88260",2,0
2016,"79018",146,0
2018,"79941",17,0
2016,"76054",6155,20
2016,"77332",59,0
2018,"77290",384,1
2018,"79370",856,2
2022,"75403",143,0
2021,"76085",5777,9
2016,"94518",1,0
2019,"91020",1,0
2020,"78008",135,0
2018,"70374",1,0
2016,"78746",10260,14
2018,"76252",1234,1
2019,"77487",349,2
2020,"60631",1,0
2019,"77378",9209,10
2020,"34787",2,0
2018,"29803",2,0
2022,"79534",56,0
2017,"76579",2226,8
2018,"76644",123,2
2019,"57719",3,0
2019,"78551",554,0
2020,"75426",3429,7
2019,"76119",33836,72
2021,"78067",413,0
2018,"75381",184,0
2017,"93307",3,0
2019,"78160",2294,3
2021,"75241",23441,25
2020,"75550",393,0
2022,"76053",7019,6
2020,"78052",4755,8
2020,"84094",2,0
2017,"78658",7,0
2020,"95682",3,0
2020,"77905",7102,4
2016,"79380",55,0
2019,"79842",219,0
2019,"76122",8,0
2017,"31907",1,0
2021,"76941",625,3
2020,"77502",18139,9
2021,"73016",1,0
2016,"78801",11427,8
2019,"94939",1,0
2017,"75844",3309,7
2017,"91423",1,0
2018,"48821",1,0
2022,"75965",2730,2
2022,"77026",10107,9
2016,"77024",13442,28
2022,"79043",332,0
2019,"75862",6709,5
2022,"76439",17,0
2021,"79379",278,0
2020,"47909",1,0
2020,"75449",605,2
2018,"76137",22379,36
2016,"02895",1,0
2017,"75416",1585,5
2020,"85374",1,1
2016,"76098",648,5
2020,"74740",4,0
2019,"11238",1,0
2021,"77346",26082,29
2019,"76504",13429,34
2017,"36272",2,0
2019,"73938",1,0
2019,"32927",1,0
2018,"87504",1,0
2019,"79550",278,1
2021,"76857",1104,7
2021,"77837",1019,0
2018,"78401",2695,4
2018,"17067",1,0
2016,"78287",1,0
2018,"79849",9162,5
2020,"77014",15881,22
2019,"04043",1,0
2019,"78597",1137,2
2022,"77591",5189,11
2018,"75092",11371,36
2016,"76866",270,0
2020,"75672",8535,20
2018,"78101",4432,5
2019,"78204",7320,4
2021,"46408",1,0
2016,"75496",1677,7
2016,"79367",371,0
2021,"77835",1419,1
2016,"79762",14911,31
2021,"76006",10746,13
2018,"76453",538,2
2019,"75660",271,1
2020,"30277",1,0
2019,"75262",2,0
2016,"77442",525,1
2019,"93555",1,0
2022,"78069",2114,0
2022,"78576",7156,3
2021,"78872",1268,1
2018,"33712",1,0
2019,"76491",190,1
2022,"78469",316,0
2016,"78767",405,0
2021,"33146",2,0
